well_id,item,value,unit,top_md_m,bottom_md_m,data_type,source_description,confidence,notes
ht1_004,simulation_top_md,5243.207,m,5243.207,7660,design_value,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 四.4.2,high,悬挂器喇叭口/回接筒顶5243.207m，水泥浆预返5243.207m；模拟段可取5243.207-7660m；CBL图头悬挂器位置5245.010-5251.110m
ht1_004,simulation_bottom_md,7660,m,5243.207,7660,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.1/作业史 一,high,实际完钻井深7660m（设计井深7600m）
ht1_004,liner_hanger_md,5243.207,m,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 四.4.2/作业史 六,high,悬挂器喇叭口/回接筒管串排列顶深5243.207m；悬挂器本体下深5251.11m(作业史八，井斜0.12°)；CBL头悬挂器位置5245.010-5251.110m
ht1_004,liner_top_md,5251.107,m,,,field_measured,HT1-004井油层尾管固井作业史.doc 九.套管数据表/逐根表,high,168.3mm尾管顶深（悬挂器本体5251.107m；逐根表最上部BG140V 98号下深5261.433m）
ht1_004,liner_shoe_md,7660,m,,,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 六.6.1/作业史 九,high,加长引鞋139.7mm*TP-G2下深7660m（浮鞋7659.04-7660m）
ht1_004,openhole_top_md,5578,m,5578,7660,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.2.1,high,273.1mm技套鞋5578m，裸眼自5578m
ht1_004,openhole_bottom_md,7660,m,5578,7660,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.1,high,完钻井深
ht1_004,casing_inner_diameter,245.37,mm,0,5578,design_value,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 五.5.1/1.4.2,high,273.1mm技套内径；计算值245.42mm(273.1-2*13.84)，设计电测井径表用245.37mm
ht1_004,casing_outer_diameter,273.1,mm,0,5578,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.2.1,high,技术套管外径273.1*BG140V*13.84mm
ht1_004,liner_inner_diameter,138.9,mm,5251.107,7376.656,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 六.6.1/施工记录表,high,168.3mm段内径=168.3-2*14.7=138.9mm
ht1_004,liner_inner_diameter,107.94,mm,7376.656,7660,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 六.6.1/施工记录表,high,139.7mm段内径=139.7-2*15.88=107.94mm
ht1_004,liner_outer_diameter,168.3,mm,5251.107,7376.656,field_measured,HT1-004井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 六.6.1/作业史,high,上段168.3mm（实下168.28mm，壁厚14.7mm，TP-SFJ扣，长度2135.38m）
