排量_m3min,屈服应力_Pa,黏度_mPas,全井有效顶替效率,耗时_s
0.3,5.0,50.0,0.655207,9.0
0.3,5.0,70.0,0.732111,8.8
0.3,5.0,90.0,0.799222,8.9
0.3,5.0,110.0,0.839953,9.1
0.3,5.0,130.0,0.866257,8.9
0.3,5.0,150.0,0.883025,9.3
0.3,5.0,170.0,0.892328,9.2
0.3,5.0,190.0,0.89736,9.2
0.3,5.0,210.0,0.900289,9.5
0.3,5.0,230.0,0.902155,9.4
0.3,5.0,250.0,0.903435,9.6
0.3,5.0,270.0,0.904362,9.6
0.3,5.0,290.0,0.905063,9.7
0.3,5.0,310.0,0.905609,9.4
0.3,5.0,330.0,0.906047,9.0
0.3,5.0,350.0,0.906405,10.5
0.3,6.0,50.0,0.683068,9.4
0.3,6.0,70.0,0.762209,9.8
0.3,6.0,90.0,0.819862,11.3
0.3,6.0,110.0,0.854091,10.4
0.3,6.0,130.0,0.876283,10.2
0.3,6.0,150.0,0.888908,10.3
0.3,6.0,170.0,0.895577,10.5
0.3,6.0,190.0,0.899271,10.3
0.3,6.0,210.0,0.90152,9.7
0.3,6.0,230.0,0.903011,10.1
0.3,6.0,250.0,0.904065,9.7
0.3,6.0,270.0,0.904848,9.6
0.3,6.0,290.0,0.90545,8.9
0.3,6.0,310.0,0.905926,9.0
0.3,6.0,330.0,0.906312,9.0
0.3,6.0,350.0,0.906631,9.2
0.3,7.0,50.0,0.714218,9.1
0.3,7.0,70.0,0.791357,8.9
0.3,7.0,90.0,0.837431,11.2
0.3,7.0,110.0,0.866873,9.7
0.3,7.0,130.0,0.884108,10.0
0.3,7.0,150.0,0.89318,11.1
0.3,7.0,170.0,0.897974,11.1
0.3,7.0,190.0,0.900746,11.1
0.3,7.0,210.0,0.902511,11.3
0.3,7.0,230.0,0.903724,11.2
0.3,7.0,250.0,0.904604,10.9
0.3,7.0,270.0,0.905271,11.4
0.3,7.0,290.0,0.905792,11.0
0.3,7.0,310.0,0.90621,11.1
0.3,7.0,330.0,0.906552,11.1
0.3,7.0,350.0,0.906837,10.7
0.3,8.0,50.0,0.748831,8.9
0.3,8.0,70.0,0.813994,10.8
0.3,8.0,90.0,0.853645,11.1
0.3,8.0,110.0,0.877255,10.8
0.3,8.0,130.0,0.889849,10.7
0.3,8.0,150.0,0.896272,10.9
0.3,8.0,170.0,0.899782,10.7
0.3,8.0,190.0,0.901912,11.1
0.3,8.0,210.0,0.903325,10.9
0.3,8.0,230.0,0.904326,11.0
0.3,8.0,250.0,0.90507,10.8
0.3,8.0,270.0,0.905644,10.9
0.3,8.0,290.0,0.906099,11.0
0.3,8.0,310.0,0.906467,10.9
0.3,8.0,330.0,0.906771,10.9
0.3,8.0,350.0,0.907027,10.8
0.3,9.0,50.0,0.779502,9.5
0.3,9.0,70.0,0.83467,9.2
0.3,9.0,90.0,0.867363,9.1
0.3,9.0,110.0,0.885082,10.6
0.3,9.0,130.0,0.893959,10.0
0.3,9.0,150.0,0.898548,9.5
0.3,9.0,170.0,0.90118,10.6
0.3,9.0,190.0,0.902854,11.0
0.3,9.0,210.0,0.904005,10.8
0.3,9.0,230.0,0.904843,10.7
0.3,9.0,250.0,0.905478,11.5
0.3,9.0,270.0,0.905975,12.1
0.3,9.0,290.0,0.906374,11.1
0.3,9.0,310.0,0.9067,11.3
0.3,9.0,330.0,0.906972,11.0
0.3,9.0,350.0,0.907201,10.3
0.3,10.0,50.0,0.806377,12.0
0.3,10.0,70.0,0.852852,10.2
0.3,10.0,90.0,0.878094,10.5
0.3,10.0,110.0,0.890699,10.8
0.3,10.0,130.0,0.896916,10.5
0.3,10.0,150.0,0.900264,10.9
0.3,10.0,170.0,0.902288,10.8
0.3,10.0,190.0,0.90363,10.9
0.3,10.0,210.0,0.904583,10.6
0.3,10.0,230.0,0.905292,10.6
0.3,10.0,250.0,0.905838,10.8
0.3,10.0,270.0,0.906272,10.6
0.3,10.0,290.0,0.906623,10.6
0.3,10.0,310.0,0.906913,10.6
0.3,10.0,330.0,0.907157,10.5
0.3,10.0,350.0,0.907363,10.3
0.3,11.0,50.0,0.830727,10.5
0.3,11.0,70.0,0.867628,11.0
0.3,11.0,90.0,0.885929,10.9
0.3,11.0,110.0,0.894671,10.6
0.3,11.0,130.0,0.899084,10.5
0.3,11.0,150.0,0.901594,10.4
0.3,11.0,170.0,0.903187,10.5
0.3,11.0,190.0,0.904282,10.4
0.3,11.0,210.0,0.905079,10.7
0.3,11.0,230.0,0.905684,10.7
0.3,11.0,250.0,0.906158,10.4
0.3,11.0,270.0,0.906538,10.5
0.3,11.0,290.0,0.90685,10.7
0.3,11.0,310.0,0.907109,10.5
0.3,11.0,330.0,0.907327,10.6
0.3,11.0,350.0,0.907514,10.9
0.3,12.0,50.0,0.851375,11.2
0.3,12.0,70.0,0.878704,10.8
0.3,12.0,90.0,0.891441,11.1
0.3,12.0,110.0,0.897506,10.8
0.3,12.0,130.0,0.900719,10.9
0.3,12.0,150.0,0.90265,10.9
0.3,12.0,170.0,0.90393,10.9
0.3,12.0,190.0,0.904837,10.7
0.3,12.0,210.0,0.905512,11.3
0.3,12.0,230.0,0.906033,11.0
0.3,12.0,250.0,0.906445,10.9
0.3,12.0,270.0,0.90678,10.7
0.3,12.0,290.0,0.907056,10.8
0.3,12.0,310.0,0.907288,10.7
0.3,12.0,330.0,0.907485,11.5
0.3,12.0,350.0,0.907654,11.3
0.3,13.0,50.0,0.867334,11.6
0.3,13.0,70.0,0.886567,12.3
0.3,13.0,90.0,0.895292,10.5
0.3,13.0,110.0,0.899579,9.2
0.3,13.0,130.0,0.901987,9.2
0.3,13.0,150.0,0.90351,9.5
0.3,13.0,170.0,0.904555,9.0
0.3,13.0,190.0,0.905316,9.1
0.3,13.0,210.0,0.905893,9.1
0.3,13.0,230.0,0.906344,9.2
0.3,13.0,250.0,0.906705,9.3
0.3,13.0,270.0,0.907001,9.2
0.3,13.0,290.0,0.907247,9.5
0.3,13.0,310.0,0.907454,9.1
0.3,13.0,330.0,0.907631,9.3
0.3,13.0,350.0,0.907784,9.4
0.3,14.0,50.0,0.878842,9.0
0.3,14.0,70.0,0.892006,9.2
0.3,14.0,90.0,0.898021,9.5
0.3,14.0,110.0,0.90114,9.0
0.3,14.0,130.0,0.902998,9.1
0.3,14.0,150.0,0.904223,9.1
0.3,14.0,170.0,0.90509,10.4
0.3,14.0,190.0,0.905734,10.8
0.3,14.0,210.0,0.906229,10.5
0.3,14.0,230.0,0.906622,10.2
0.3,14.0,250.0,0.90694,10.0
0.3,14.0,270.0,0.907203,10.8
0.3,14.0,290.0,0.907422,10.7
0.3,14.0,310.0,0.907609,10.0
0.3,14.0,330.0,0.907768,10.4
0.3,14.0,350.0,0.907907,9.0
0.3,15.0,50.0,0.886824,10.0
0.3,15.0,70.0,0.895756,9.9
0.3,15.0,90.0,0.900005,9.7
