well_id,interval_name,top_md_m,bottom_md_m,purpose,source_file,source_location,data_type,confidence,notes
hu101,目的层-喀拉扎组(J3k),7537,7868,侏罗系喀拉扎组，设计目的层,2/201/2011/20111/201111/2011111.doc,2.1,field_measured,high,K1q底7537m，J3k至完钻7868m(未穿)
hu101,主要气层-K1q,7492,7536,浅灰色、灰色荧光泥质细砂岩-气层,2/201/2011/20111/201111/2011111.doc,2.2,field_measured,high,录井解释气层，厚度44m
hu101,差气层-J3k_1,7718,7719,灰色含砾细砂岩-差气层,2/201/2011/20111/201111/2011111.doc,2.2,field_measured,high,
hu101,差气层-J3k_2,7733,7735,灰色含砾泥质细砂岩-差气层,2/201/2011/20111/201111/2011111.doc,2.2,field_measured,high,
hu101,水层-K1s,6152,6156,绿灰色泥质粉砂岩-水层,2/201/2011/20111/201111/2011111.doc,2.2,field_measured,medium,
hu101,水层-J3k,7765,7766,灰色含砾细砂岩-水层,2/201/2011/20111/201111/2011111.doc,2.2,field_measured,medium,
hu101,漏层-7598m,7598,7615,钻进期间漏失层位，当量2.04-2.054g/cm3,2/201/2011/20111/201111/2011111.doc,2.6,field_measured,high,漏速13.3m3/h
hu101,后效显示-7709m,7492,7735,后效气测最大45万ppm，上窜速度57.67m/h,2/201/2011/20111/201111/2011111.doc,2.3,field_measured,high,
hu101,CBL评价重点-裸眼段,5700,7868,尾管固井封固评价段,2/201/2011/20111/201111/2011111.doc,前言,interpreted,medium,水泥返至5400m，评价重点5700-7868m裸眼段
hu101,CBL评价重点-气层段,7492,7735,气层+差气层叠加段,2/201/2011/20111/201111/2011111.doc,2.2,interpreted,high,尾管固井质量关键评价段
