well_id,event_time_min,event_md_m,event_type,description,related_stage,source_file,source_location,confidence,notes
hu101,,7598,lost_circulation,钻进期间井漏：井深7598.46m，密度2.04g/cm3，漏失泥浆4m3，漏速13.3m3/h,,2/201/2011/20111/201111/2011111.doc,2.6,high,
hu101,,7615,lost_circulation,钻进期间井漏：井深7615.4m，密度1.96g/cm3，漏失2.9m3，漏速11.6m3/h,,2/201/2011/20111/201111/2011111.doc,2.6,high,
hu101,,5400,liner_hanger_failure,悬挂器坐挂失败：投球到位后反复试坐挂4次不成功(1.8-15MPa)，16.5MPa蹩通球座，最终倒扣35圈丢手,,2/201/2011/20111/201111/2011114.doc,三,high,关键施工异常，导致座底固井
hu101,,,bump_plug_early,碰压提前：理论需102.2方碰压，人工计量提前12.2m3碰压,,2/201/2011/20111/201111/2011114.doc,四,high,计量不准确
hu101,,,plug_length_short,下塞短于设计：实探下塞面7813.6m(设计7718m)，塞长仅54.4m(设计150m),,2/201/2011/20111/201111/2011114.doc,六,high,
hu101,,,seal_failure,封隔器坐封失败：施工结束后尝试3次坐封均失败，判断滑块未弹开,,2/201/2011/20111/201111/2011114.doc,三,high,
hu101,,,rate_change,水泥浆进入环空后排量从1.5降至0.55m3/min，168.3mm段环空返速仅0.5-0.3m/s,替浆,2/201/2011/20111/201111/2011114.doc,七,medium,预防漏失降低排量，影响顶替效率
hu101,,,pump_failure,泵车故障：尾浆注1m3后泵车凡尔座胶皮脱落，无法正常上水，被迫放弃剩余40m3水泥+5m3压塞液注入,注水泥,2/201/2012/20126.doc,(三),high,严重施工事故
hu101,,,plug_not_inserted,胶塞未入井：由于软管线冻结冰碴堵塞平衡杆旋塞阀，开泵憋压，胶塞无法下入,,2/201/2012/20126.doc,(三),high,导致油基泥浆与水泥浆直接接触
hu101,,,no_bump_pressure,未碰压：到累计泵冲量未碰压，停止替浆,碰压,2/201/2012/20127.doc,碰压,high,胶塞未入井导致无法碰压
hu101,,,cement_low_return,水泥低返风险：约40m3水泥未注入，水泥可能低返2000m以上,,2/201/2012/20126.doc,(三),high,
hu101,,,long_wait_time,洗井时间过长：套管下完后68h施工车具才到井(疫情管控)，洗井过长损坏节流浮箍和插入头密封圈风险,,2/201/2012/20126.doc,(三),medium,
hu101,,,low_temperature,冬季极端低温(-20至-28℃)，固井液温度仅14-16℃，水泥浆状态较稠,,2/201/2012/20126.doc,(三),medium,
hu101,,,line_leak,注灰管线与水泥头连接处呲漏，紧急改用替浆口继续注灰,注水泥,2/201/2012/20126.doc,(三),medium,
