[D2DGA] 开始环空二维模拟 total_t=13743s nz=250 ny=40
  [D2DGA] 进度 0% (3s/13743s, dt=3.108s)
  [D2DGA] 进度 10% (1376s/13743s, dt=2.115s)
  [D2DGA] 进度 20% (2749s/13743s, dt=2.114s)
  [D2DGA] 进度 30% (4123s/13743s, dt=2.114s)
  [D2DGA] 进度 40% (5497s/13743s, dt=2.114s)
  [D2DGA] 进度 50% (6872s/13743s, dt=2.114s)
  [D2DGA] 进度 60% (8247s/13743s, dt=2.123s)
  [D2DGA] 进度 70% (9621s/13743s, dt=1.820s)
  [D2DGA] 进度 80% (10995s/13743s, dt=1.710s)
  [D2DGA] 进度 90% (12371s/13743s, dt=3.220s)
  [D2DGA] 进度 100% (13743s/13743s, dt=2.730s)
