well_id,event_time_min,event_md_m,event_type,description,related_stage,source_file,source_location,confidence,notes
ht1_002,,7405.35,lost_circulation,"钻进至7405.35m发生渗漏, 漏速13.5m3/h; 钻遇清水河底部微细裂缝; 后经随钻堵漏恢复",,施工设计/施工小结 1.6节,施工设计 1.6节,high,2025-05-20 21:52
ht1_002,,7559.38,stuck_pipe,卡钻: 钻进至7559.38m倒划至7558.31m发生卡钻; 螺杆传动轴轴头以下落井; 落鱼总长2.67m; 鱼顶7554m; 泡解卡剂和两次泡酸未解卡,,施工设计/施工小结 1.6节,施工设计 1.6节,high,2025-06-07 23:26-23:30
ht1_002,,5702,formation_breakdown,"地破试验: 钻井液密度2.05, 表压18.72MPa(已破), 漏失当量2.38g/cm3",,施工设计 3.1节,施工设计 3.1节,high,
ht1_002,,5702-7559,narrow_mud_window,安全密度窗口2.11-2.190g/cm3; 6002m水层压稳当量2.14; 井底漏失当量2.190; 控压固井关键,,施工设计 preface/3.3节,施工设计 preface/3.3节,high,
ht1_002,,5331,plug_test,胶塞试通过试验: 计量罐54.6m3碰压8.7-15.7MPa; 理论计算57.3m3; 水泥车流量计62.7m3; 控压流量计57m3; 罐区58.2m3,,施工设计 1.8节,施工设计 1.8节,high,
ht1_002,,7559,dynamic_formation_test,"动态承压: 钻井液2.06, 套压0.8→3.92MPa, 循环压耗5.681MPa, 井底当量2.190(微渗), 入口18.03L/s, 出口17.9L/s",,施工设计 3.3节,施工设计 3.3节,high,
ht1_002,,,circulation,"洗井: 排量0.8m3/min, 泵压13.6MPa, 循环温度65℃, 返出正常; 结束前YP=6Pa, 密度2.06, 粘度65s",,施工记录表 R16-R18,施工记录表,high,2025-07-04~05
ht1_002,,,displacement,"实际替浆79m3, 排量0.8→0.5→0.3→0.4m3/min; 碰压17-23MPa正常",,施工记录表 R31-R34,施工记录表,high,2025-07-05
ht1_002,,,shut_in,候凝72h; 加回压12MPa(实际)/11.3-11.9MPa(设计); 环空控压72min; 蹩压候凝,,施工记录表 R35-R37,施工记录表,high,2025-07-05 19:00开始
ht1_002,,,simulation_note,斯伦贝谢模拟平均水泥充填率98%; 居中度78%; 设计顶替效率高,,施工设计 8.2.3节/6.3节,施工设计 8.2.3节/6.3节,medium,
ht1_002,,,tieback_cementing,回接固井: 2025-07-14; 下深5290.08m; 水泥返至地面; 先导浆20m3→隔离液20m3→领浆20m3→中间浆66.2m3→尾浆13.3m3→替浆100.8m3(1.50g/cm3); 碰压39-43MPa; 候凝72h,,回接施工记录表/技术总结,回接施工记录表/技术总结,high,2025-07-12~14; 下套管穿越78h
ht1_002,2025-03-28 16:00,219.1mm技术尾管,下套管,下219.1mmxBG140Vx12.7mm尾管至5630m,悬挂器位置3753m;送入钻杆149.2mmx9.65mmx3759m,呼探1-002井219.1mm尾管固井施工小结.docx,2.9.2节,high,document_text
ht1_002,2025-03-28 16:00,219.1mm技术尾管,下套管复杂,绞车异常等停5小时;下钻至5186m粘卡,下压50吨解卡;层位东沟组;粘卡段井径260mm,呼探1-002井219.1mm尾管固井施工小结.docx,三/复杂情况,high,document_text
ht1_002,2025-04-01 09:00,219.1mm技术尾管,循环洗井,排量1.0m3/min泵压6MPa,中途顶通:200m/1877m/3950m/5000m;井底ECD 1.591-1.632g/cm3,呼探1-002井219.1mm尾管固井施工小结.docx,二/下套管洗井,high,document_text
ht1_002,2025-04-01 16:40,219.1mm技术尾管,冲洗管线试压,试压25MPa,,呼探1-002井219.1mm尾管固井施工小结.docx,四/固井施工数据,high,document_text
