well_id,md_m,inclination_deg,azimuth_deg,tvd_m,data_type,source_file,source_location,confidence,notes
ht1_002,5631,0.1,207,5631,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,5670,0.2,100,5670,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,5700,0.4,321,5700,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,5730,0.6,267,5730,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,5760,0.2,317,5760,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,5790,0.5,301,5790,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,5820,0.4,304,5820,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,5850,0.4,295,5850,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,5880,0.2,256,5880,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,5910,0.3,157,5910,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,5940,0.4,255,5940,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,5970,0.4,314,5970,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6000,0.5,117,6000,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6030,0.7,349,6030,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6060,0.1,231,6060,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6090,0.3,245,6090,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6120,0.1,137,6120,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6150,0.2,272,6150,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6180,0.2,142,6180,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6210,0.3,125,6210,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6240,0.2,23,6240,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6270,0.1,231,6270,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6300,0.2,49,6300,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6330,0.2,120,6330,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6360,0.2,340,6360,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6390,0.1,210,6390,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6420,0.2,63,6420,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6450,0.1,230,6450,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6480,0.2,261,6480,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6510,0.3,36,6510,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6540,0.3,49,6540,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6570,0.3,54,6570,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6600,0.2,28,6600,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6630,0.2,120,6630,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6660,0.1,278,6660,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6690,0.1,294,6690,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6720,0.1,215,6720,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6750,0.2,109,6750,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6780,0.1,89,6780,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6810,0.4,63,6810,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6840,0.5,114,6840,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6870,0.7,101,6870,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6900,0.5,117,6900,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6930,0.8,106,6930,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6960,0.7,95,6960,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,6990,0.8,90,6990,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7020,1.0,105,7020,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7050,1.3,90,7050,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7080,1.1,95,7080,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7110,1.4,83,7110,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7140,1.7,87,7140,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7170,1.7,83,7170,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7200,1.8,85,7200,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7230,1.6,86,7230,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7260,1.9,90,7260,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7290,2.0,94,7290,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7320,2.0,107,7320,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7350,2.5,122,7350,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7380,2.6,136,7380,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7410,3.0,143,7410,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7440,3.5,149,7440,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7470,2.3,161,7470,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7500,1.9,146,7500,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
ht1_002,7554,1.9,146,7554,field_measured,施工设计 Table7,施工设计 1.4.1节 井斜/方位(30m),high,30m间隔测斜; 最大井斜3.9度@7443m; 直井MD≈TVD
