[D2DGA] 开始环空二维模拟 total_t=20944s nz=250 ny=40
  [D2DGA] 进度 0% (4s/20944s, dt=4.000s)
  [D2DGA] 进度 10% (2095s/20944s, dt=2.708s)
  [D2DGA] 进度 20% (4191s/20944s, dt=2.708s)
  [D2DGA] 进度 30% (6285s/20944s, dt=2.708s)
  [D2DGA] 进度 40% (8378s/20944s, dt=2.288s)
  [D2DGA] 进度 50% (10473s/20944s, dt=3.391s)
  [D2DGA] 进度 60% (12567s/20944s, dt=3.064s)
  [D2DGA] 进度 70% (14663s/20944s, dt=4.000s)
  [D2DGA] 进度 80% (16756s/20944s, dt=4.000s)
  [D2DGA] 进度 90% (18851s/20944s, dt=3.471s)
  [D2DGA] 进度 100% (20944s/20944s, dt=1.285s)
