index,step_name,fluid_name,role,volume_m3,rate_m3_min,duration_min,start_min,end_min,cum_volume_m3,explicit_time,remarks
0,注入平衡液,平衡液,wash,40.0,1.4,28.5714,0,28.5714,40.0,False,平衡液 40m³@1.4m³/min，角色 WASH。
1,注入隔离液,隔离液,spacer,20.0,1.0,20,28.5714,48.5714,60.0,False,隔离液 20m³@1.0m³/min，角色 SPACER，使用 HT1-001 幂律流变。
2,注入领浆,领浆,lead,20.6,1.0,20.6,48.5714,69.1714,80.6,False,领浆 20.6m³@1.0m³/min。
3,注入中间浆,中间浆,intermediate,28.7,1.0,28.7,69.1714,97.8714,109.3,False,中间浆 28.7m³@1.0m³/min，角色 INTERMEDIATE。
4,注入尾浆,尾浆,tail,22.1,1.0,22.1,97.8714,119.971,131.4,False,尾浆 22.1m³@1.0m³/min，使用现场实际体积。
5,注入压塞液（管内）,压塞液,other,2.0,0.6,3.33333,119.971,123.305,133.4,False,压塞液 2m³@0.6m³/min，仅作为管内占位，不作为水泥入环空体积。
6,替钻井液(快),替钻井液,displacement,25.0,1.4,17.8571,123.305,141.162,158.4,False,替钻井液快替 25m³@1.4m³/min。
7,替保护液/中置液,中置液,displacement,10.0,1.0,10,141.162,151.162,168.4,False,替保护液/中置液 10m³@1.0m³/min。
8,替基液,基液,displacement,3.0,1.0,3,151.162,154.162,171.4,False,基液 3m³@1.0m³/min，密度 1020kg/m³。
9,井浆快替,井浆,displacement,35.0,1.0,35,154.162,189.162,206.4,False,"井浆快替 35m³@1.0m³/min（现场""替钻井液2 53.7m³@1.2–0.6""拆分的前段）。"
10,井浆慢替,井浆,displacement,18.7,0.6,31.1667,189.162,220.329,225.1,False,"井浆慢替 18.7m³@0.6m³/min（现场""替钻井液2 53.7m³@1.2–0.6""拆分的后段，合计 53.7m³）。"
