well_id,fluid_name,temperature_c,theta_600,theta_300,theta_200,theta_100,theta_6,theta_3,source_file,source_location,confidence,notes
hu103,钻井液(白油基),65,128,74,54,33,6,5,2\203\2031\20313.doc,1.3.1钻井液性能,high,65C六速读数; 油基泥浆
hu103,钻井液(白油基),25,207,119,86,50,8,7,2\203\2031\20313.doc,1.3.2低温性能,high,25C六速读数
hu103,钻井液(白油基),35,169,98,71,41,7,5,2\203\2031\20313.doc,1.3.2低温性能,high,35C六速读数
hu103,钻井液(白油基),45,152,85,61,36,6,5,2\203\2031\20313.doc,1.3.2低温性能,high,45C六速读数
hu103,钻井液(白油基),55,126,71,52,30,6,4,2\203\2031\20313.doc,1.3.2低温性能,high,55C六速读数
hu103,平衡液,140,128,74,54,33,6,5,2\203\2031\20311\203111.docx,Table7,high,140C(K93C)平衡液六速
hu103,领浆,140,,224,158,93,9,5,2\203\2031\20311\203111.docx,Table7,high,140C(K93C)领浆六速; theta600未记录
hu103,中间浆,140,,254,179,112,14,7,2\203\2031\20311\203111.docx,Table7,high,140C(K93C)中间浆六速; theta600未记录
hu103,尾浆,133,,265,186,115,15,7,2\203\2031\20311\203111.docx,Table7,high,133C(K93C)尾浆六速; theta600未记录
hu103,钻井液(193.7mm回接),120,107,60,43,26,6,4,2\203\2032\20321\203211.docx,Table6,high,120C(K93C); 193.7mm回接钻井液六速
hu103,平衡液(193.7mm回接),120,105,63,45,30,8,5,2\203\2032\20321\203211.docx,Table6,high,120C(K93C); 193.7mm回接平衡液六速
hu103,领浆(193.7mm回接),109,,217,144,87,9,4,2\203\2032\20321\203211.docx,Table6,high,109C(K93C); 193.7mm回接领浆六速
hu103,尾浆(193.7mm回接),109,,259,176,118,13,7,2\203\2032\20321\203211.docx,Table6,high,109C(K93C); 193.7mm回接尾浆六速
