井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,冲洗液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7660.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03818388257522255,0.17000000000000004,0.83
7650.294004016064,1.3475456028596187e-13,0.9999999999998652,1.0,7.97813482786205e-38,0.0,1.0,9.828013871513692e-17,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999999,1.0,0.9999999999999998,1.781471846609401e-60,2.391241954542674e-44,9.536064210247494e-37,0.03818388257522255,0.17000000000000004,0.83
7640.5880080321285,7.086409920581572e-13,0.9999999999992912,1.0,7.868979848445752e-37,0.0,1.0,1.9603425223884025e-16,0.9999999999999996,1.0,1.0,0.9999999999999996,1.0,1.0,5.065570812562295e-59,3.836495887901588e-43,9.307214184757116e-36,0.03818388257522255,0.17000000000000004,0.83
7630.882012048192,2.7348582701830924e-12,0.999999999997265,0.9999999999999997,6.88116640649628e-36,0.0,0.9999999999999997,2.4913984787753963e-16,0.9999999999999996,1.0,0.9999999999999999,0.9999999999999996,1.0,0.9999999999999999,1.3631217050550978e-57,5.7353364335059285e-42,8.045544487556854e-35,0.03818388257522255,0.17000000000000004,0.83
7621.176016064257,9.166057013782883e-12,0.9999999999908338,0.9999999999999997,5.890218009957577e-35,0.0,0.9999999999999997,2.877229428254193e-16,0.9999999999999996,1.0,0.9999999999999999,0.9999999999999996,1.0,0.9999999999999999,3.6313400121199775e-56,8.629991067066996e-41,6.800540755996168e-34,0.03818388257522255,0.17000000000000004,0.83
7611.470020080321,2.8129425900323036e-11,0.9999999999718703,0.9999999999999997,5.000386893786429e-34,0.0,0.9999999999999997,3.5456404918001483e-16,0.9999999999999996,1.0,0.9999999999999999,0.9999999999999996,1.0,0.9999999999999999,9.5874168972488e-55,1.3156152742624099e-39,5.693877784232887e-33,0.03818388257522255,0.17000000000000004,0.83
7601.764024096386,8.09430713954926e-11,0.9999999999190566,0.9999999999999997,4.219865364905541e-33,0.0,0.9999999999999997,4.0869734130510785e-16,0.9999999999999996,1.0,1.0,0.9999999999999996,1.0,1.0,2.5049530499678586e-53,2.0318304272566177e-38,4.732597544867091e-32,0.03818388257522255,0.17000000000000004,0.83
7592.058028112449,2.212678443772387e-10,0.9999999997787317,0.9999999999999996,3.543598454304544e-32,0.0,0.9999999999999996,4.3223672216311867e-16,0.9999999999999996,1.0,0.9999999999999999,0.9999999999999996,1.0,0.9999999999999999,6.463918143778655e-52,3.176638066397052e-37,3.908091407721065e-31,0.03818388257522255,0.17000000000000004,0.83
7582.352032128514,5.797127160381983e-10,0.9999999994202867,0.9999999999999996,2.963635157037917e-31,0.0,0.9999999999999996,4.685833179353491e-16,0.9999999999999996,0.9999999999999998,1.0,0.9999999999999996,0.9999999999999998,1.0,1.6431470860516258e-50,5.023661292810584e-36,3.208448814097768e-30,0.03818388257522255,0.17000000000000004,0.83
7572.646036144578,1.4675497726820125e-09,0.9999999985324497,0.9999999999999996,2.4708018305748492e-30,0.0,0.9999999999999996,4.676657370054495e-16,0.9999999999999996,1.0,1.0,0.9999999999999996,1.0,1.0,4.100754551775773e-49,8.029679252349162e-35,2.6205036331735635e-29,0.03818388257522255,0.17000000000000004,0.83
