井号,井名,窗口名,窗口类型,窗口顶md,窗口底md,模型窗口η_E,模型窗口η_N,CBL段顶md,CBL段底md,CBL合格率%,CBL质量口径,窗口覆盖率,CBL段覆盖率,纳入现场验证,可比性,备注
ht1_003,呼1-003,CBL评价井段(尾管段),cbl,5568,7618,0.7157,0.6314,7442,7595,95.5,中等及以上占比(目的井段一界面),0.0746,1.0000,1,部分可比,次要口径
ht1_003,呼1-003,CBL评价井段(尾管段),cbl,5568,7618,0.7157,0.6314,5307.54,7514.21,78.7,中等及以上占比(尾管评价段一界面),0.9494,0.8820,1,可比,另有2个局部数字段口径并存
ht1_003,呼1-003,CBL评价井段(尾管段),cbl,5568,7618,0.7157,0.6314,3500,7595,88.5,中等及以上占比(全井测量段一界面),0.9888,0.4950,1,部分可比,次要口径
ht1_003,呼1-003,CBL数字化窗(78.7%对应),cbl_digitization,5307.54,7514.21,0.6612,0.5489,5307.54,7514.21,78.7,中等及以上占比(尾管评价段一界面),1.0000,1.0000,1,可比,另有2个局部数字段口径并存
ht1_003,呼1-003,CBL数字化窗(78.7%对应),cbl_digitization,5307.54,7514.21,0.6612,0.5489,3500,7595,88.5,中等及以上占比(全井测量段一界面),1.0000,0.5389,1,部分可比,次要口径
ht1_003,呼1-003,CBL数字化窗(78.7%对应),cbl_digitization,5307.54,7514.21,0.6612,0.5489,7442,7595,95.5,中等及以上占比(目的井段一界面),0.0327,0.4720,1,部分可比,次要口径
ht1_003,呼1-003,气层-K1q主力油层段(地层目标),formation_target,7418,7440,1.0000,1.0000,5307.54,7514.21,78.7,中等及以上占比(尾管评价段一界面),1.0000,0.0100,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_003,呼1-003,气层-K1q主力油层段(地层目标),formation_target,7418,7440,1.0000,1.0000,3500,7595,88.5,中等及以上占比(全井测量段一界面),1.0000,0.0054,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_003,呼1-003,目的井段(地层目标),formation_target,7442,7618,0.7229,0.8702,7442,7595,95.5,中等及以上占比(目的井段一界面),0.8693,1.0000,1,可比,另有2个局部数字段口径并存
ht1_003,呼1-003,目的井段(地层目标),formation_target,7442,7618,0.7229,0.8702,3500,7595,88.5,中等及以上占比(全井测量段一界面),0.8693,0.0374,1,部分可比,次要口径
ht1_003,呼1-003,目的井段(地层目标),formation_target,7442,7618,0.7229,0.8702,5307.54,7514.21,78.7,中等及以上占比(尾管评价段一界面),0.4103,0.0327,1,部分可比,次要口径
