case_id,e,Re,m,b,eta_E_模型,eta_E_论文D2DGA,eta_E_论文3D,eta_E_偏差_vs_D2DGA,eta_E_偏差_vs_3D,eta_E_超容差,t_br_模型,t_br_论文D2DGA,t_br_论文3D,t_br_偏差_vs_D2DGA,t_br_超容差,t_br_原始_s,t_br_v2口径,t_br_v2口径_s,mass_conservation_error,体积创造峰值,clip_triggered,clip_调用次数,clip_最大绝对值,clip_理论上界,b_反算_论文式,b_模型summary,Q0_用,Q0_论文打印,网格_nz,网格_ny,时间步数
1,0.8,20,0.2,-50.0,0.9866,0.66,0.61,0.3266,0.3766,True,0.55,0.44,0.33,0.11,True,82.504,0.96,143.993,0.4446826483610697,1.3374,0,1207,0.01066,0.017538,-49.999,-73.988,1.9032652967938214e-05,1.9e-05,140,40,1207
2,0.8,20,0.2,100.0,0.9866,0.95,0.95,0.0366,0.0366,False,0.55,0.95,0.95,-0.4,True,82.505,0.96,143.996,0.4446826565510022,1.3374,0,1207,0.021319,0.035076,99.998,147.9761,1.9032652967938214e-05,1.9e-05,140,40,1207
3,0.6,20,0.2,10.0,0.9944,0.92,0.91,0.0744,0.0844,True,0.5472,0.79,0.67,-0.2428,True,82.083,0.979,146.855,0.4539789824409332,1.3404,0,1249,0.002132,0.003508,10.0007,13.2324,1.9032652967938214e-05,1.9e-05,140,40,1249
4,0.6,20,0.2,1000.0,0.9943,1.0,0.98,-0.0057,0.0143,False,0.5493,0.99,0.98,-0.4407,True,329.557,0.9776,586.534,0.46025157470595557,1.3429,0,1244,0.013325,0.021924,1000.0324,1322.506,4.758163241984553e-06,4.76e-06,140,40,1244
5,0.4,20,0.2,100.0,0.9978,0.97,0.95,0.0278,0.0478,False,0.5761,0.95,0.93,-0.3739,True,86.418,0.9918,148.765,0.4351205306239619,1.3359,0,1098,0.021319,0.035076,99.998,117.77,1.9032652967938214e-05,1.9e-05,140,40,1098
6,0.4,20,5.0,100.0,0.4883,0.93,0.96,-0.4417,-0.4717,True,0.2688,0.93,0.94,-0.6612,True,32.252,0.3652,43.82,0.482922454736447,1.2743,0,4649,0.063529,0.105775,99.9991,134.4624,2.3790816209922767e-05,2.38e-05,140,40,4649
7,0.2,20,0.5,10.0,0.9984,0.9,0.9,0.0984,0.0984,True,0.6198,0.78,0.7,-0.1602,True,92.966,0.9935,149.025,0.3838873692051798,1.3352,0,837,0.002463,0.003863,10.0007,10.6692,1.9032652967938214e-05,1.9e-05,140,40,837
8,0.2,20,2.0,10.0,0.7866,0.84,0.86,-0.0534,-0.0734,True,0.4509,0.78,0.7,-0.3291,True,27.057,0.6687,40.124,0.3858441592308469,1.3475,0,2052,0.021042,0.032918,10.0003,10.846,4.7581632419845534e-05,4.76e-05,140,40,2052
9,0.1,100,0.2,100.0,0.9999,0.97,0.95,0.0299,0.0499,False,0.7315,0.97,0.96,-0.2385,True,87.776,0.9959,119.505,0.332568752192403,1.3092,0,738,0.006662,0.010961,99.9963,103.6062,2.3790816209922767e-05,0.000238,140,40,738
10,0.1,1000,0.2,100.0,0.9999,0.97,0.95,0.0299,0.0499,False,0.7337,0.97,0.96,-0.2363,True,8.804,0.9952,11.942,0.3328752510311333,1.3107,0,731,0.066624,0.109615,100.0005,103.6105,0.00023790816209922768,0.000238,140,40,731
