地面累计时间_s,地面累计时间_min,环空顶替时间_s,环空顶替时间_min,地面施工阶段,鞋口出流流体,环空入口相,排量_m3_min
0.000,0.000,0.000,0.000,注入平衡液(轻泥浆),钻井液,泥浆相,1.600000
2632.533,43.876,0.000,0.000,注入领浆,平衡液,泥浆相,1.800000
3565.867,59.431,0.000,0.000,注入中间浆,隔离液1,泥浆相,1.800000
4149.200,69.153,0.000,0.000,注入中间浆,隔离液2,泥浆相,1.800000
4732.533,78.876,0.000,0.000,注入尾浆,替浆液,泥浆相,1.800000
5465.867,91.098,0.000,0.000,替钻井液(一段),替浆液,泥浆相,1.800000
6665.867,111.098,0.000,0.000,替钻井液(二段),替浆液,泥浆相,1.800000
7532.533,125.542,0.000,0.000,替钻井液(二段),压塞液,泥浆相,1.800000
7765.867,129.431,0.000,0.000,替钻井液(二段),替浆液,泥浆相,1.800000
8202.500,136.708,0.000,0.000,施工结束后保持,替浆液,泥浆相,0.000000
