well_id,interval_name,top_md_m,bottom_md_m,purpose,source_description,data_type,confidence,notes
ht1_003,地质分层-连木沁组,,5953,地层划分,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,底深5953m厚661m
ht1_003,地质分层-胜金口组,,6076,地层划分,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,底深6076m厚123m
ht1_003,地质分层-呼图壁河组,,6747,地层划分,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,底深6747m厚671m
ht1_003,地质分层-清水河组,,7502,地层划分,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,底深7502m厚755m
ht1_003,地质分层-喀拉扎组三段,7586,,地层划分,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,顶7586m厚84m
ht1_003,地质分层-喀拉扎组二段,7618,,地层划分,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.1,field_measured,high,7618m未穿厚32m
ht1_003,水层-K1q,6860,6880,高压水层(压稳关键),HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃1.4574%↑3.8333%；水层压力最高，<1.98g/cm3当量无法完全压稳
ht1_003,干层-K1q,7110,7114,干层,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃0.7859%↑1.6560%
ht1_003,气层-K1q,7418,7440,气层(主力油层段),HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃5.9631%↑9.3621%；主力油层段7418-7440m
ht1_003,差气层-J3k3,7451,7463,差气层,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃4.2530%↑8.2618%
ht1_003,差气层-J3k3,7474,7485,差气层,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃4.6407%↑6.3640%
ht1_003,差气层-J3k3,7490,7498,差气层,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃4.5346%↑7.1647%
ht1_003,气层-J3k3,7536,7554,气层,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃6.2362%↑12.5426%
ht1_003,差气层-J3k3,7564,7576,差气层,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,field_measured,high,全烃3.428%↑20.1342%；施工记录表油气层底7576m
ht1_003,主力油层段,6860,7522,主力油层段,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 二.2.3,interpreted,medium,6860-6880m(水层压力最高)、7418-7440m、7506-7522m
ht1_003,目的井段,7442,7618,CBL评价目的井段,HT1-003_固井质量测井评价图_15-3500与_3500-7595_20260622_完井.pdf 图头 目的井段,field_measured,high,CBL评价图目的井段7442-7618m；作业史油层顶界7418m/射孔底界7578m
ht1_003,漏失层-喀拉扎组,7463,,钻进漏失层,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.6,field_measured,high,7463.71m漏失漏速16.6m3/h漏失3.6m3
