well_id,step_index,stage_name,fluid_role,fluid_name,volume_m3,rate_m3_min,start_time_min,end_time_min,density_g_cm3,event_tag,data_type,source_description,confidence,notes
ht1_003,0,initial_condition,mud,油基钻井液,,,0,0,1.95,,field_measured,HT1-003井168.3+139.7mm油层尾管控压固井施工设计 (已审批).doc 一.1.3.1,high,井内原钻井液密度1.95g/cm3，粘度62s，塑粘51mPa.s，动切10Pa
ht1_003,1,flush_pipe,shutdown,冲洗管线试压,,,16.5,18.6,,pressure_test_30MPa,field_measured,HT1-003井168.3+139.7mm油层尾管固井总结.doc/作业史,high,2026-05-27 16:30-16:38 冲洗管线试压30MPa
ht1_003,2,pump_lead_spacer_pre,wash,先导浆(低密前置液),28,1.2,18.6,21.0,1.75,,field_measured,HT1-003井168.3+139.7mm油层尾管固井总结.doc/作业史 施工流程,high,17:00注完，泵压14-17.8MPa；泥浆泵泵送
ht1_003,3,pump_spacer1,spacer,低失水驱油隔离液1,16,1.0,21.0,21.25,2.05,,field_measured,HT1-003井168.3+139.7mm油层尾管固井总结.doc/作业史,high,17:15注完，泵压19MPa；实际配隔离液xlsm密度~2.05-2.13总量16m3
ht1_003,4,pump_spacer2,spacer,低失水驱油隔离液2,10,1.0,21.25,21.58,1.95,,field_measured,HT1-003井168.3+139.7mm油层尾管固井总结.doc/作业史,high,17:35注完，泵压18-19MPa；实际配隔离液xlsm密度~2.08
ht1_003,5,pump_lead,lead_cement,领浆,39,1.2,21.58,22.27,2.05,,field_measured,HT1-003井168.3+139.7mm油层尾管固井总结.doc/作业史 七.4,high,18:16注完，泵压22MPa；灰量157t；稠化455min/70Bc
ht1_003,6,pump_tail,tail_cement,尾浆,28,1.2,22.27,22.83,1.95,,field_measured,HT1-003井168.3+139.7mm油层尾管固井总结.doc/作业史 七.4,high,18:50注完，泵压22MPa；稠化256min/70Bc
ht1_003,7,displace,displacement,替浆(钻井液1.95+压塞液2+中置液14),91.9,1.4,22.83,24.17,1.95,,field_measured,HT1-003井168.3+139.7mm油层尾管固井总结.doc/作业史 七.5,high,"18:50-20:10(约80min)排量1.4-0.8m3/min，泵压15-19-26-19MPa；实际替桨xlsm总泵量91.01m3排量峰值1.41m3/min；胶塞试通过钻具内容积61m3与灌水测试一致；数采替桨xlsm PumpTotalAll起泵约18:35-18:40累计91.009m3至20:07停泵,排量峰值1.407@18:54,1.4→0.83递减；文字记录三版(总结完成20:10/作业史表21:10/记录表18:50-21:40)以数采为准,21:10=拆水泥头、21:40=循环排混浆(2026-08-29校准注记)"
ht1_003,8,bump_plug,plug,碰压,,,24.17,,,bump_pressure_19-25MPa,field_measured,HT1-003井168.3+139.7mm尾管固井施工记录表.doc/固井总结,high,20:10碰压19-25MPa，放回水800L断流(正常)
ht1_003,9,pull_center_tube,plug,拆水泥头拔中心杆,,,25.17,,,bump_pressure_14MPa,field_measured,HT1-003井168.3+139.7mm油层尾管固井总结.doc/作业史,high,21:10拆水泥头憋压14MPa拔出中心杆
ht1_003,10,circulate_excess,displacement,大排量循环排混浆,200,2.4,25.67,27.17,1.95,circulate_excess_mud,field_measured,HT1-003井168.3+139.7mm油层尾管固井总结.doc/作业史,high,21:40循环排混浆排量2.4m3/min压力28.7MPa控压5MPa循环103方出口密度降低
ht1_003,11,shut_in,shutdown,候凝,,,,,,shut_in_72h,field_measured,HT1-003井168.3+139.7mm尾管固井施工记录表.doc/DSGN 7.2,high,2026-05-28 4:00开始候凝72h；环空井口加压12.9MPa加压54h憋压候凝；设计候凝至领浆:隔离液2=8:2强度3.5MPa
