well_id,image_id,source_file,source_type,page_number_or_image_index,detected_content,is_liner_related,contains_useful_data,extracted_to_file,ocr_or_vision_method,confidence,needs_human_review,notes
ht1_003,cbl_15_3500,HT1-003_固井质量测井评价图_15-3500_20260622_完井.pdf,pdf_text_layer,1页,CBL评价图头：测量井段15-3500m；固井质量不合格；违反七条红线两条；水泥面5307.54m；人工井底7514.21m；套管程序；目的井段7442-7618m,1,1,cbl_evaluation.csv,pymupdf_text,,0,有文字层图头直接提取；曲线未定量
ht1_003,cbl_3500_7595,HT1-003_固井质量测井评价图_3500-7595_20260622_完井.pdf,pdf_text_layer,1页,CBL评价图头：测量井段3500-7595m；固井质量不合格；技术说明同前；深度刻度7595-5100m,1,1,cbl_evaluation.csv,pymupdf_text,,0,有文字层；曲线未定量
ht1_003,cbl_ibc_10_7520,HT1-003井IBC固井质量与套损评价成果图_10-7520m.pdf,pdf_text_layer,137页,IBC固井质量与套损评价(斯伦贝谢FITS/USIT)曲线：GR/ECCE/RSAV/声幅AWMN-AWMX/变密度/USIT/套损；仅曲线标注文字无结论文字层,1,0,,pymupdf_text,,1,137页大图；文字层仅标注；曲线定量需人工
ht1_003,plan_pdf,HT1-003井施工方案(1).pdf,scanned_pdf,12页,固井施工方案(扫描件),1,0,,tesseract_ocr_chi_sim,,1,无文字层；低清扫描OCR质量差，未能可靠提取数值；施工流程与设计书一致未新增关键数据
ht1_003,brief_pdf,HT1-003井尾管固井施工技术交底书.pdf,scanned_pdf,6页,固井施工技术交底(扫描件)：施工流程、控压当量2.00/2.02/2.04g/cm3、浆柱、异常处置,1,0,,tesseract_ocr_chi_sim,,1,OCR部分可读确认与设计一致；数值需人工复核
ht1_003,third_party_pdf,化验报告/HT1-003井油层尾管水泥浆第三方检测报告.pdf,scanned_pdf,9页,水泥浆第三方检测报告(北京工程院复检),1,0,,tesseract_ocr_chi_sim,,1,无文字层；低清扫描OCR严重失真数值不可靠；以化验报告.docx为准
ht1_003,torque_pdf,80027队HTI-003井139.7和168.28套管扭矩数据.pdf,pdf_text_layer,61页,上扣扭矩控制汇总表：209根套管上扣记录(139.7mm BGT2约25000N.m等)，全部合格,1,1,casing_liner_string.csv,pymupdf_text,,0,209条上扣数据均已合格
ht1_003,daq_ti,数据采集/80027 HT1-003 尾管替桨.xlsm,xlsm_curve,数据表2236行,实际替浆泵注时间序列：2026-05-27 16:56-20:07，总泵量91.01m3排量峰值1.41m3/min泵压峰值27MPa,1,1,pumping_schedule.csv,openpyxl,,0,核对施工记录表替浆91.9m3一致
ht1_003,daq_peil,数据采集/80027HT1-003尾管固井配隔离液.xlsm,xlsm_curve,数据表1150行,实际配隔离液：16:07-17:44密度峰值2.30总量17.2m3；16:33密度2.127总量16m3(隔离液1)，17:23密度2.078总量8.4m3(隔离液2),1,1,fluid_properties.csv,openpyxl,,0,实际隔离液密度2.05-2.13 / 1.95-2.08
ht1_003,daq_ch,数据采集/80027 HT1-003 尾管 抽灰.xlsm,xlsm_curve,数据表2089行,实际抽灰(水泥混配)：密度-0.16-2.69(含清水)，流量峰值1.10m3/min；设备时钟2010年未校准,1,1,fluid_properties.csv,openpyxl,,1,时钟日期错误(2010-10-08)仅作水泥浆密度/排量核对
ht1_003,lab_docx,化验报告/HT1-003 油层尾管 化验报告.docx,docx_tables,139行,油层尾管水泥浆实验报告：领/尾浆配方、稠化、失水、强度、流变六速、相容性、静胶凝,1,1,"fluid_properties.csv, rheometer_readings.csv",python-docx,,0,本次流体性能主数据源
